5,0,80
5,0,82
4,1,82
4,0,84
4,0,85
4,2,86
4,1,88
2,2,90
3,3,91
5,5,93
7,7,97
8,8,98
0,15,107
0,17,109
1,20,112
3,24,115
3,28,120
2,32,122
2,33,124
0,34,124
2,39,130
1,40,133
2,41,134
4,43,138
5,44,139
7,46,141
8,47,142
9,47,144
4,54,149
3,53,148
2,52,149
0,53,149
1,54,150
1,55,153
1,57,154
0,58,157
3,61,160
3,62,162
2,64,165
2,66,166
3,67,167
3,68,170
4,69,171
5,70,172
0,72,183
0,71,182
0,70,181
0,72,185
0,75,187
0,75,190
0,76,190
0,75,191
0,80,195
0,80,197
0,81,198
1,82,200
0,83,201
2,85,203
5,88,208
5,90,209
0,92,214
0,93,214
0,94,215
0,95,216
0,97,217
0,98,218
0,101,220
0,102,221
0,103,221
0,104,222
0,105,223
0,106,224
1,107,225
0,109,225
0,110,228
0,112,230
1,114,232
1,116,233
2,117,234
2,119,235
3,120,234
1,121,233
2,122,232
1,124,230
2,125,229
2,125,228
1,127,229
1,127,227
0,132,224
0,133,223
0,135,221
0,137,218
0,138,213
1,140,207
1,141,200
1,143,193
1,144,186
2,146,180
2,148,173
2,149,165
3,151,161
3,152,158
3,152,156
6,145,164
6,146,163
6,147,157
9,148,153
9,149,146
11,151,140
13,152,129
14,153,120
18,158,113
23,160,106
29,163,100
33,165,92
34,165,85
37,167,81
40,169,79
43,170,79
70,169,42
72,171,44
74,173,44
77,174,41
78,174,38
81,175,35
86,178,35
90,180,31
95,181,30
97,182,26
98,182,22
100,181,18
105,184,17
111,190,19
113,191,19
111,189,17
123,194,4
123,192,1
124,194,0
130,197,3
133,199,1
135,199,0
138,201,0
144,203,0
146,204,0
149,203,0
152,204,0
155,204,0
158,206,0
161,206,1
163,208,3
164,207,3
180,204,0
181,205,0
183,207,0
186,208,0
190,210,0
193,211,1
197,213,1
199,213,2
201,214,2
203,214,0
204,213,0
208,214,0
212,217,3
215,218,5
215,218,3
228,215,0
229,215,0
230,214,0
232,213,0
233,214,0
234,214,0
236,213,0
237,214,0
238,213,0
239,214,0
240,213,0
241,211,0
242,211,0
241,210,0
243,209,0
244,208,0
243,205,0
245,204,0
246,203,0
248,203,0
248,202,2
249,202,2
254,193,7
255,192,7
255,190,6
255,188,7
255,185,5
255,183,6
255,181,7
255,180,9
255,173,5
255,172,4
255,170,5
255,169,6
254,168,7
253,167,6
250,166,5
249,165,5
255,156,12
255,154,12
255,152,13
255,151,14
255,149,15
255,147,18
255,145,19
255,138,15
255,139,19
255,136,20
255,132,19
255,131,20
255,130,21
255,127,20
250,122,15
255,105,24
255,106,25
255,103,25
253,97,22
251,93,20
253,92,24
253,87,25
252,83,26
255,81,30
253,75,29
255,73,33
255,71,33
251,62,30
251,60,31
251,60,32
249,55,28
255,43,58
255,40,57
253,36,57
250,30,55
248,28,54
250,27,58
251,27,61
250,24,61
252,23,62
251,22,61
252,22,60
251,21,59
252,21,67
252,20,68
253,19,68
253,19,70
252,20,70
251,18,71
253,22,76
249,21,74
249,22,77
255,31,85
255,32,86
253,32,86
255,35,89
248,43,86
249,46,89
251,49,89
250,50,89
251,52,91
254,58,94
253,62,96
250,61,93
255,72,101
255,74,102
255,78,103
255,82,106
255,85,108
255,87,107
255,89,108
253,96,113
252,95,112
253,98,112
255,106,118
255,109,121
255,112,122
255,117,124
255,121,128
255,124,130
255,127,132
255,128,131
255,127,129
255,129,131
255,133,136
255,135,136
255,134,135
242,159,143
241,158,142
242,161,144
245,166,149
247,170,152
245,172,153
246,175,155
246,180,158
253,188,166
251,191,167
249,193,168
251,197,171
251,200,173
253,203,176
252,205,177
253,206,178
249,211,190
251,214,187
253,217,181
254,219,179
254,218,182
255,218,191
255,220,202
255,222,208
255,224,204
253,230,199
247,232,193
245,235,199
